Año,Mes,ICTC
2016,Enero,"101,41"
2016,Febrero,"101,40"
2016,Marzo,"100,58"
2016,Abril,"100,22"
2016,Mayo,"100,75"
2016,Junio,"100,75"
2016,Julio,"100,87"
2016,Agosto,"100,61"
2016,Septiembre,"101,03"
2016,Octubre,"100,97"
2016,Noviembre,"101,97"
2016,Diciembre,"101,67"
2017,Enero,"103,80"
2017,Febrero,"104,35"
2017,Marzo,"104,71"
2017,Abril,"104,54"
2017,Mayo,"104,58"
2017,Junio,"104,63"
2017,Julio,"104,68"
2017,Agosto,"104,98"
2017,Septiembre,"105,55"
2017,Octubre,"105,56"
2017,Noviembre,"105,72"
2017,Diciembre,"106,47"
2018,Enero,"107,22"
2018,Febrero,"108,11"
2018,Marzo,"108,14"
2018,Abril,"108,00"
2018,Mayo,"108,69"
2018,Junio,"109,54"
2018,Julio,"109,58"
2018,Agosto,"109,69"
2018,Septiembre,"110,39"
2018,Octubre,"111,02"
2018,Noviembre,"111,73"
2018,Diciembre,"111,95"
2019,Enero,"112,58"
2019,Febrero,"113,27"
2019,Marzo,"113,64"
2019,Abril,"113,82"
2019,Mayo,"114,09"
2019,Junio,"114,14"
2019,Julio,"114,72"
2019,Agosto,"115,20"
2019,Septiembre,"115,74"
2019,Octubre,"115,89"
2019,Noviembre,"115,82"
2019,Diciembre,"115,86"
2020,Enero,"117,73"
2020,Febrero,"118,32"
2020,Marzo,"115,37"
2020,Abril,"105,46"
2020,Mayo,"104,11"
2020,Junio,"113,08"
2020,Julio,"113,96"
2020,Agosto,"113,72"
2020,Septiembre,"113,55"
2020,Octubre,"113,49"
2020,Noviembre,"113,20"
2020,Diciembre,"112,84"
2021,Enero,"114,00"
2021,Febrero,"115,04"
2021,Marzo,"115,79"
2021,Abril,"116,32"
2021,Mayo,"116,59"
2021,Junio,"116,67"
2021,Julio,"116,94"
2021,Agosto,"117,38"
2021,Septiembre,"118,20"
2021,Octubre,"118,60"
2021,Noviembre,"119,02"
2021,Diciembre,"120,27"
2022,Enero,"123,45"
2022,Febrero,"124,31"
2022,Marzo,"124,82"
2022,Abril,"125,33"
2022,Mayo,"125,98"
2022,Junio,"126,79"
2022,Julio,"128,89"
2022,Agosto,"130,19"
2022,Septiembre,"130,91"
2022,Octubre,"131,90"
2022,Noviembre,"133,14"
2022,Diciembre,"133,75"
2023,Enero,"137,11"
2023,Febrero,"138,70"
2023,Marzo,"138,64"
2023,Abril,"138,10"
2023,Mayo,"138,32"
2023,Junio,"137,91"
2023,Julio,"137,57"
2023,Agosto,"137,61"
2023,Septiembre,"137,37"
2023,Octubre,"137,54"
2023,Noviembre,"137,12"
2023,Diciembre,"136,84"
2024,Enero,"139,63"
2024,Febrero,"141,71"
2024,Marzo,"141,54"
2024,Abril,"141,66"
2024,Mayo,"141,59"
2024,Junio,"142,11"
2024,Julio,"141,95"
2024,Agosto,"143,15"
2024,Septiembre,"146,17"
2024,Octubre,"145,86"
2024,Noviembre,"146,14"
2024,Diciembre,"148,44"
2025,Enero,"152,34"
2025,Febrero,"152,84"
2025,Marzo,"153,29"
2025,Abril,"154,32"
2025,Mayo,"154,21"
2025,Junio,"154,32"
2025,Julio,"154,10"
2025,Agosto,"154,29"
2025,Septiembre,"154,35"
2025,Octubre,"154,60"
2025,Noviembre,"154,76"
2025,Diciembre,"154,95"
2026,Enero,"160,40"
2026,Febrero,"161,84"
2026,Marzo,"162,11"
2026,Abril,"162,91"